generation , average fitness, worst fitness, best fitness
0, 13826.332625732422, -189661.359375, 302446.40625
1, 65676.48151367187, -167514.125, 245859.546875
2, 99650.45190429688, -117072.0390625, 400009.875
3, 107003.77197265625, -109905.578125, 268399.1875
4, 126008.936875, 21721.54296875, 275088.25
5, 133756.765625, 22927.134765625, 333819.375
6, 157423.439140625, 49270.48828125, 402513.0625
7, 140884.01703125, -286863.78125, 290407.5
8, 172624.515, 38603.5078125, 286985.84375
9, 175070.6017578125, 17128.458984375, 343540.59375
10, 210528.55828125, 68361.3359375, 314741.625
11, 227334.46140625, 124187.7265625, 335038.5625
12, 235078.49125, 129855.34375, 377993.3125
13, 241553.646875, 166384.453125, 393356.5625
14, 228023.88875, 173980.78125, 374027.90625
15, 225396.9815625, 160774.921875, 358608.5
16, 226874.40984375, 95996.2265625, 323258.15625
17, 223384.785625, 86016.96875, 311262.90625
18, 234937.35, 180257.0, 431152.0
19, 223768.3978125, 155237.421875, 354620.09375
20, 224047.400625, 161789.359375, 380018.46875
21, 226411.966875, 174590.90625, 328731.9375
22, 226553.2440625, 134999.25, 324326.65625
23, 224071.1275, 166631.640625, 324770.875
24, 235521.3478125, 167979.546875, 369983.375
25, 224504.9165625, 121267.09375, 348996.9375
26, 234334.829375, 158377.09375, 415550.5625
27, 229174.6565625, 192539.640625, 298996.15625
28, 231100.3128125, 105708.484375, 342361.21875
29, 230907.044375, 163498.140625, 325238.78125
30, 230669.10640625, 115666.5078125, 308905.78125
31, 232516.765625, 161479.046875, 349865.125
32, 221726.45375, 116737.8125, 319661.59375
33, 223227.146875, 177516.34375, 313225.40625
34, 231644.5484375, 147938.203125, 422995.40625
35, 226216.9725, 157725.734375, 402189.375
36, 227245.7025, 170421.515625, 336430.375
